# 0.000000
Nick	TARGET/0.695440
is	POSITIVITY/0.699231
at	TARGET/0.243178
the	SPATIALRELATION/0.421412
desk	GROUNDING/0.783116
.	-/0.947872
The	-/0.940664
robber	TARGET/0.962556
is	POSITIVITY/0.929893
in	SPATIALRELATION/0.710217
the	GROUNDING/0.485313
kitchen	-/0.399265
.	-/0.984154
there	TARGET/0.795997
is	POSITIVITY/0.864069
someone	SPATIALRELATION/0.334488
on	GROUNDING/0.328622
the	-/0.457375
other	TARGET/0.282816
side	POSITIVITY/0.169679
of	TARGET/0.272312
the	SPATIALRELATION/0.551950
hallway	GROUNDING/0.743212
.	-/0.940600
A	-/0.954618
robot	TARGET/0.959330
is	POSITIVITY/0.793803
behind	SPATIALRELATION/0.459703
the	SPATIALRELATION/0.329226
table	GROUNDING/0.644892
.	-/0.908749
i	TARGET/0.376538
don't	POSITIVITY/0.292522
see	SPATIALRELATION/0.434769
anyone	GROUNDING/0.516915
.	-/0.934175
i	TARGET/0.415311
see	POSITIVITY/0.266183
the	TARGET/0.248244
blue	SPATIALRELATION/0.519459
robot	GROUNDING/0.722376
.	-/0.990464
Someone	TARGET/0.941553
is	POSITIVITY/0.935019
by	TARGET/0.197493
the	SPATIALRELATION/0.341432
fern	GROUNDING/0.654973
.	-/0.927781
noone	TARGET/0.778084
in	POSITIVITY/0.275449
the	SPATIALRELATION/0.480403
study	GROUNDING/0.653056
.	-/0.929559
A	-/0.959653
robot	TARGET/0.980173
is	POSITIVITY/0.961333
in	SPATIALRELATION/0.888311
fount	GROUNDING/0.842364
of	-/0.767952
the	TARGET/0.445481
filing	SPATIALRELATION/0.600662
cabinet	GROUNDING/0.760090
.	-/0.973845
two	TARGET/0.852887
are	POSITIVITY/0.768505
by	TARGET/0.347621
the	SPATIALRELATION/0.513713
fern	GROUNDING/0.690254
.	-/0.966127
blue	TARGET/0.910416
in	SPATIALRELATION/0.963505
kitchen	GROUNDING/0.978351
.	-/0.986622
The	-/0.946974
robber	TARGET/0.930306
is	POSITIVITY/0.730768
behind	TARGET/0.186778
the	SPATIALRELATION/0.374906
table	GROUNDING/0.738956
.	-/0.934664
The	-/0.641612
blue	TARGET/0.489761
robot	POSITIVITY/0.243456
i	TARGET/0.240094
near	SPATIALRELATION/0.229090
the	GROUNDING/0.189112
cabinet	-/0.192210
in	TARGET/0.166246
the	SPATIALRELATION/0.405148
study	GROUNDING/0.523006
.	-/0.783673
.	-/0.953683
there	TARGET/0.490715
are	POSITIVITY/0.754735
now	TARGET/0.349883
two	SPATIALRELATION/0.564852
people	GROUNDING/0.760279
.	-/0.943250
the	-/0.463772
green	-/0.547133
one	TARGET/0.843498
is	POSITIVITY/0.877682
near	SPATIALRELATION/0.638364
the	GROUNDING/0.302402
tripods	-/0.193449
.	-/0.922671
Two	-/0.469005
robots	TARGET/0.557915
in	POSITIVITY/0.177179
the	SPATIALRELATION/0.502195
hall	GROUNDING/0.707167
.	-/0.939901
The	-/0.940743
fern	TARGET/0.963327
is	POSITIVITY/0.935306
in	SPATIALRELATION/0.794568
front	GROUNDING/0.652553
of	SPATIALRELATION/0.545322
you	GROUNDING/0.791544
.	-/0.951478
i	TARGET/0.450496
can	SPATIALRELATION/0.132941
see	GROUNDING/0.130317
movement	-/0.152121
in	TARGET/0.169695
the	SPATIALRELATION/0.362243
hallway	GROUNDING/0.487842
.	-/0.815590
in	TARGET/0.497786
the	SPATIALRELATION/0.603778
kitchen	GROUNDING/0.740501
.	-/0.936336
Get	TARGET/0.535932
him	SPATIALRELATION/0.677394
!	GROUNDING/0.850476
.	-/0.953604
The	-/0.929884
robber	TARGET/0.923689
is	POSITIVITY/0.813050
next	SPATIALRELATION/0.378809
to	GROUNDING/0.328441
the	SPATIALRELATION/0.486071
plant	GROUNDING/0.706627
.	-/0.937699
A	-/0.956350
robot	TARGET/0.966067
is	POSITIVITY/0.921484
moving	ACTION/0.603314
towards	MODIFIER/0.452437
the	GROUNDING/0.256078
kitchen	-/0.180821
in	TARGET/0.153957
the	SPATIALRELATION/0.357490
hall	GROUNDING/0.445471
.	-/0.649114
.	-/0.953277
the	TARGET/0.548074
green	-/0.502331
one	TARGET/0.843505
is	POSITIVITY/0.837392
by	SPATIALRELATION/0.561215
the	GROUNDING/0.458336
filing	SPATIALRELATION/0.473742
cabinent	GROUNDING/0.711901
.	-/0.927541
I	-/0.572430
know	-/0.524366
red	TARGET/0.878531
is	POSITIVITY/0.858910
by	TARGET/0.206671
the	SPATIALRELATION/0.371993
study	GROUNDING/0.719369
.	-/0.953112
someone	TARGET/0.863332
in	SPATIALRELATION/0.452547
front	GROUNDING/0.381923
of	SPATIALRELATION/0.635427
you	GROUNDING/0.835553
.	-/0.966417
the	-/0.371164
red	-/0.514840
one	TARGET/0.761795
is	POSITIVITY/0.692682
on	SPATIALRELATION/0.349967
the	GROUNDING/0.323222
other	-/0.326856
side	TARGET/0.200324
of	POSITIVITY/0.152136
the	SPATIALRELATION/0.564618
kitchen	GROUNDING/0.742900
.	-/0.928434
Check	-/0.414531
on	TARGET/0.260572
the	SPATIALRELATION/0.148969
other	GROUNDING/0.184378
side	-/0.279918
of	TARGET/0.272972
the	SPATIALRELATION/0.545018
fern	GROUNDING/0.730597
.	-/0.926256
I	-/0.653791
think	-/0.645403
Pris	TARGET/0.940698
is	POSITIVITY/0.900535
in	SPATIALRELATION/0.725536
the	GROUNDING/0.491888
kitchen	-/0.313146
.	-/0.638434
.	-/0.956189
the	TARGET/0.501982
blue	-/0.430416
on	TARGET/0.719326
is	POSITIVITY/0.725758
coming	SPATIALRELATION/0.305663
out	GROUNDING/0.303004
of	-/0.271816
the	SPATIALRELATION/0.502010
kitchn	GROUNDING/0.697391
.	-/0.919607
i	-/0.347671
see	TARGET/0.240376
the	-/0.320592
green	TARGET/0.333731
red	SPATIALRELATION/0.585906
one	GROUNDING/0.782750
.	-/0.963527
robot	TARGET/0.897255
behind	SPATIALRELATION/0.931856
you	GROUNDING/0.974811
.	-/0.997358
Roy	TARGET/0.975271
is	POSITIVITY/0.882820
in	SPATIALRELATION/0.689045
the	GROUNDING/0.402472
library	-/0.273571
.	-/0.990081
Roy	TARGET/0.964154
is	POSITIVITY/0.884003
near	SPATIALRELATION/0.641082
the	MODIFIER/0.264611
kitchen	GROUNDING/0.665460
.	-/0.939639
the	-/0.577410
red	-/0.524471
one	TARGET/0.770634
is	POSITIVITY/0.621049
behind	SPATIALRELATION/0.512467
the	GROUNDING/0.431731
file	SPATIALRELATION/0.492136
cabinet	GROUNDING/0.738864
.	-/0.963335
robot	TARGET/0.787095
in	POSITIVITY/0.332572
billarid	SPATIALRELATION/0.537085
room	GROUNDING/0.683750
.	-/0.924458
I	-/0.596532
know	-/0.602765
robot	TARGET/0.943404
is	POSITIVITY/0.932121
in	SPATIALRELATION/0.714122
the	GROUNDING/0.437198
kitchen	-/0.304747
.	-/0.899288
no	-/0.920653
one	TARGET/0.934674
is	POSITIVITY/0.901931
near	SPATIALRELATION/0.656504
the	GROUNDING/0.335442
checkboardds	-/0.250322
.	-/0.935119
nobody	TARGET/0.768010
in	POSITIVITY/0.278484
the	SPATIALRELATION/0.471701
hallway	GROUNDING/0.629766
.	-/0.912639
Both	-/0.694367
robot	TARGET/0.641110
are	POSITIVITY/0.489444
moving	TARGET/0.428038
in	SPATIALRELATION/0.551645
the	GROUNDING/0.596671
center	-/0.569939
of	TARGET/0.332186
the	SPATIALRELATION/0.480397
hall	GROUNDING/0.556277
.	-/0.672281
.	-/0.994642
Roy	TARGET/0.976799
is	POSITIVITY/0.895980
near	SPATIALRELATION/0.775646
the	GROUNDING/0.600676
filing	SPATIALRELATION/0.406729
cabinet	GROUNDING/0.659037
.	-/0.917693
no	-/0.884310
one	TARGET/0.890860
is	POSITIVITY/0.727219
there	TARGET/0.143797
anymore	POSITIVITY/0.158739
good	SPATIALRELATION/0.484476
job	GROUNDING/0.724625
.	-/0.948036
nobody	TARGET/0.771081
in	POSITIVITY/0.288473
the	SPATIALRELATION/0.499918
study	GROUNDING/0.677983
.	-/0.989880
Someone	TARGET/0.943074
is	POSITIVITY/0.936828
by	SPATIALRELATION/0.597574
the	GROUNDING/0.471796
filing	SPATIALRELATION/0.504131
cabinet	GROUNDING/0.773820
.	-/0.938288
The	-/0.545099
blue	-/0.578037
robot	TARGET/0.828387
is	POSITIVITY/0.722010
behind	SPATIALRELATION/0.575271
the	GROUNDING/0.472610
filing	SPATIALRELATION/0.466077
cabinet	GROUNDING/0.700816
.	-/0.934519
Two	TARGET/0.483222
robbers	POSITIVITY/0.349532
in	TARGET/0.200500
the	SPATIALRELATION/0.472170
kitchen	GROUNDING/0.658087
.	-/0.924745
Near	TARGET/0.469909
the	SPATIALRELATION/0.604943
fern	GROUNDING/0.756637
.	-/0.924894
Break	-/0.378318
free	TARGET/0.250649
of	SPATIALRELATION/0.163039
your	GROUNDING/0.199408
shackles	-/0.331852
Deckard	-/0.247199
!	TARGET/0.160253
Attack	SPATIALRELATION/0.117665
your	GROUNDING/0.178149
masters	-/0.310913
!	TARGET/0.296684
!	SPATIALRELATION/0.585261
!	GROUNDING/0.765069
.	-/0.933398
Camera	TARGET/0.441676
2	SPATIALRELATION/0.228074
doesn't	GROUNDING/0.352536
see	-/0.320404
anyone	TARGET/0.499858
.	-/0.952719
