# 0.000000
Nick	TARGET/0.779218
is	POSITIVITY/0.774919
at	TARGET/0.260153
the	SPATIALRELATION/0.593701
desk	GROUNDING/0.710893
.	-/0.890425
The	POSITIVITY/0.646731
robber	TARGET/0.907736
is	POSITIVITY/0.899131
in	SPATIALRELATION/0.670376
the	SPATIALRELATION/0.446661
kitchen	GROUNDING/0.630332
.	-/0.954172
there	TARGET/0.946010
is	POSITIVITY/0.857061
someone	SPATIALRELATION/0.549386
on	GROUNDING/0.510110
the	-/0.286925
other	TARGET/0.224996
side	POSITIVITY/0.167003
of	TARGET/0.276048
the	SPATIALRELATION/0.729798
hallway	GROUNDING/0.792169
.	-/0.926468
A	POSITIVITY/0.764675
robot	TARGET/0.940732
is	POSITIVITY/0.910583
behind	SPATIALRELATION/0.500810
the	SPATIALRELATION/0.528187
table	GROUNDING/0.668030
.	-/0.882424
i	TARGET/0.403448
don't	POSITIVITY/0.273077
see	ACTION/0.495542
anyone	TARGET/0.657045
.	-/0.929008
i	POSITIVITY/0.384861
see	TARGET/0.276055
the	POSITIVITY/0.227254
blue	SPATIALRELATION/0.656596
robot	GROUNDING/0.728694
.	-/0.970362
Someone	TARGET/0.964411
is	POSITIVITY/0.917871
by	TARGET/0.238982
the	SPATIALRELATION/0.565198
fern	GROUNDING/0.707385
.	-/0.929637
noone	TARGET/0.760614
in	POSITIVITY/0.395855
the	SPATIALRELATION/0.691954
study	GROUNDING/0.748484
.	-/0.909086
A	POSITIVITY/0.769845
robot	TARGET/0.960320
is	POSITIVITY/0.950738
in	SPATIALRELATION/0.903925
fount	GROUNDING/0.871674
of	-/0.609853
the	TARGET/0.377864
filing	SPATIALRELATION/0.763203
cabinet	GROUNDING/0.819468
.	-/0.959445
two	TARGET/0.921473
are	POSITIVITY/0.764310
by	TARGET/0.391909
the	SPATIALRELATION/0.702775
fern	GROUNDING/0.770724
.	-/0.967726
blue	TARGET/0.875439
in	SPATIALRELATION/0.958734
kitchen	GROUNDING/0.958784
.	-/0.970150
The	POSITIVITY/0.636504
robber	TARGET/0.879431
is	POSITIVITY/0.863227
behind	SPATIALRELATION/0.474011
the	SPATIALRELATION/0.539364
table	GROUNDING/0.676693
.	-/0.891828
The	TARGET/0.463411
blue	POSITIVITY/0.341020
robot	TARGET/0.312909
i	POSITIVITY/0.252854
near	SPATIALRELATION/0.241848
the	GROUNDING/0.201738
cabinet	-/0.207911
in	TARGET/0.226929
the	SPATIALRELATION/0.483815
study	GROUNDING/0.439720
.	-/0.596609
.	-/0.611928
there	TARGET/0.609527
are	POSITIVITY/0.452044
now	TARGET/0.385645
two	SPATIALRELATION/0.710034
people	GROUNDING/0.776427
.	-/0.927233
the	TARGET/0.629598
green	POSITIVITY/0.500086
one	TARGET/0.887747
is	POSITIVITY/0.893231
near	SPATIALRELATION/0.570566
the	SPATIALRELATION/0.515371
tripods	GROUNDING/0.657603
.	-/0.893258
Two	POSITIVITY/0.307504
robots	TARGET/0.351012
in	POSITIVITY/0.229161
the	SPATIALRELATION/0.656201
hall	GROUNDING/0.724295
.	-/0.891722
The	POSITIVITY/0.648750
fern	TARGET/0.910173
is	POSITIVITY/0.911897
in	SPATIALRELATION/0.836541
front	GROUNDING/0.741776
of	SPATIALRELATION/0.767225
you	GROUNDING/0.891213
.	-/0.955809
i	TARGET/0.488517
can	POSITIVITY/0.283681
see	TARGET/0.193253
movement	POSITIVITY/0.137287
in	TARGET/0.208400
the	SPATIALRELATION/0.609667
hallway	GROUNDING/0.657273
.	-/0.881511
in	TARGET/0.533299
the	SPATIALRELATION/0.731434
kitchen	GROUNDING/0.795727
.	-/0.937876
Get	TARGET/0.447209
him	SPATIALRELATION/0.730029
!	GROUNDING/0.790888
.	-/0.914125
The	POSITIVITY/0.632487
robber	TARGET/0.852972
is	POSITIVITY/0.818138
next	SPATIALRELATION/0.556803
to	GROUNDING/0.504625
the	SPATIALRELATION/0.657820
plant	GROUNDING/0.756961
.	-/0.922776
A	POSITIVITY/0.764815
robot	TARGET/0.941008
is	POSITIVITY/0.900685
moving	SPATIALRELATION/0.426571
towards	GROUNDING/0.399358
the	-/0.303863
kitchen	TARGET/0.326374
in	POSITIVITY/0.213944
the	SPATIALRELATION/0.474515
hall	GROUNDING/0.432030
.	-/0.582768
.	-/0.638346
the	TARGET/0.634323
green	POSITIVITY/0.506387
one	TARGET/0.897566
is	POSITIVITY/0.894552
by	SPATIALRELATION/0.664615
the	GROUNDING/0.599670
filing	SPATIALRELATION/0.625353
cabinent	GROUNDING/0.741521
.	-/0.928375
I	TARGET/0.647127
know	POSITIVITY/0.535692
red	TARGET/0.896259
is	POSITIVITY/0.886807
by	TARGET/0.237169
the	SPATIALRELATION/0.522747
study	GROUNDING/0.634833
.	-/0.944335
someone	TARGET/0.821678
in	SPATIALRELATION/0.356583
front	GROUNDING/0.310015
of	SPATIALRELATION/0.838820
you	GROUNDING/0.917994
.	-/0.968719
the	TARGET/0.688231
red	POSITIVITY/0.520562
one	TARGET/0.848800
is	POSITIVITY/0.845047
on	SPATIALRELATION/0.725032
the	GROUNDING/0.635901
other	-/0.352881
side	TARGET/0.254842
of	POSITIVITY/0.256367
the	SPATIALRELATION/0.754830
kitchen	GROUNDING/0.817926
.	-/0.934558
Check	TARGET/0.392901
on	POSITIVITY/0.226241
the	SPATIALRELATION/0.207889
other	GROUNDING/0.223484
side	-/0.218316
of	TARGET/0.275929
the	SPATIALRELATION/0.733264
fern	GROUNDING/0.796726
.	-/0.934381
I	TARGET/0.652893
think	POSITIVITY/0.567981
Pris	TARGET/0.925534
is	POSITIVITY/0.931496
in	SPATIALRELATION/0.750280
the	GROUNDING/0.549058
kitchen	SPATIALRELATION/0.311135
.	GROUNDING/0.328741
.	-/0.637840
the	TARGET/0.601029
blue	POSITIVITY/0.452901
on	TARGET/0.725209
is	POSITIVITY/0.747614
coming	SPATIALRELATION/0.544373
out	GROUNDING/0.504138
of	-/0.230439
the	SPATIALRELATION/0.704668
kitchn	GROUNDING/0.776471
.	-/0.917867
i	TARGET/0.374155
see	POSITIVITY/0.226489
the	TARGET/0.344536
green	POSITIVITY/0.309967
red	SPATIALRELATION/0.742282
one	GROUNDING/0.810375
.	-/0.947593
robot	TARGET/0.854981
behind	SPATIALRELATION/0.944872
you	GROUNDING/0.975400
.	-/0.992506
Roy	TARGET/0.983824
is	POSITIVITY/0.951782
in	SPATIALRELATION/0.702676
the	SPATIALRELATION/0.440627
library	GROUNDING/0.648193
.	-/0.955299
Roy	TARGET/0.973943
is	POSITIVITY/0.953331
near	SPATIALRELATION/0.580451
the	SPATIALRELATION/0.543230
kitchen	GROUNDING/0.691268
.	-/0.911034
the	TARGET/0.537308
red	POSITIVITY/0.451764
one	TARGET/0.842898
is	POSITIVITY/0.868930
behind	SPATIALRELATION/0.686076
the	GROUNDING/0.621321
file	SPATIALRELATION/0.648504
cabinet	GROUNDING/0.774433
.	-/0.948529
robot	TARGET/0.802075
in	POSITIVITY/0.444429
billarid	SPATIALRELATION/0.716291
room	GROUNDING/0.767952
.	-/0.926544
I	TARGET/0.672896
know	POSITIVITY/0.623267
robot	TARGET/0.937271
is	POSITIVITY/0.931963
in	SPATIALRELATION/0.706945
the	SPATIALRELATION/0.407030
kitchen	GROUNDING/0.575568
.	-/0.849291
no	POSITIVITY/0.633058
one	TARGET/0.923225
is	POSITIVITY/0.903750
near	SPATIALRELATION/0.566425
the	SPATIALRELATION/0.532473
checkboardds	GROUNDING/0.685012
.	-/0.927708
nobody	TARGET/0.731268
in	POSITIVITY/0.391367
the	SPATIALRELATION/0.698473
hallway	GROUNDING/0.755312
.	-/0.917394
Both	POSITIVITY/0.494641
robot	TARGET/0.579512
are	POSITIVITY/0.443593
moving	TARGET/0.369807
in	SPATIALRELATION/0.475436
the	GROUNDING/0.554423
center	-/0.445253
of	TARGET/0.324416
the	SPATIALRELATION/0.503753
hall	GROUNDING/0.410002
.	-/0.495118
.	-/0.805284
Roy	TARGET/0.979171
is	POSITIVITY/0.962167
near	SPATIALRELATION/0.785442
the	GROUNDING/0.667987
filing	SPATIALRELATION/0.577772
cabinet	GROUNDING/0.707925
.	-/0.903484
no	POSITIVITY/0.636762
one	TARGET/0.875188
is	POSITIVITY/0.776746
there	GROUNDING/0.433243
anymore	MODIFIER/0.357915
good	SPATIALRELATION/0.625293
job	GROUNDING/0.754647
.	-/0.947303
nobody	TARGET/0.737892
in	POSITIVITY/0.400829
the	SPATIALRELATION/0.720065
study	GROUNDING/0.786945
.	-/0.971479
Someone	TARGET/0.968004
is	POSITIVITY/0.932806
by	SPATIALRELATION/0.684941
the	GROUNDING/0.613061
filing	SPATIALRELATION/0.622506
cabinet	GROUNDING/0.739272
.	-/0.925699
The	TARGET/0.645813
blue	POSITIVITY/0.577189
robot	TARGET/0.892605
is	POSITIVITY/0.910259
behind	SPATIALRELATION/0.711738
the	GROUNDING/0.640381
filing	SPATIALRELATION/0.624619
cabinet	GROUNDING/0.740109
.	-/0.924256
Two	TARGET/0.494731
robbers	POSITIVITY/0.291333
in	TARGET/0.247564
the	SPATIALRELATION/0.702906
kitchen	GROUNDING/0.784133
.	-/0.938069
Near	TARGET/0.445186
the	SPATIALRELATION/0.728886
fern	GROUNDING/0.794186
.	-/0.926318
Break	TARGET/0.454186
free	POSITIVITY/0.259362
of	TARGET/0.208985
your	POSITIVITY/0.184733
shackles	SPATIALRELATION/0.171184
Deckard	GROUNDING/0.197020
!	-/0.180756
Attack	TARGET/0.201354
your	POSITIVITY/0.161502
masters	TARGET/0.215145
!	POSITIVITY/0.251148
!	SPATIALRELATION/0.727000
!	GROUNDING/0.787955
.	-/0.916019
Camera	TARGET/0.383570
2	POSITIVITY/0.162516
doesn't	MODIFIER/0.550527
see	ACTION/0.747658
anyone	TARGET/0.788486
